stop_id,stop_code,stop_name,stop_lat,stop_lon
10226,19376,BLOOMFIELD AVE AT PARK PL,40.83137000000001,-74.24457000000001
10227,19381,BLOOMFIELD AVE AT LINN DR,40.83466000000001,-74.25703
10228,19224,BLOOMFIELD AVE AT WHITE ROCK RD,40.83489,-74.25965000000001
10229,17291,BLOOMFIELD AVE AT SMULL AVE,40.8404,-74.27680000000001
1023,14683,ROWAN COLLEGE AT BURLINGTON-MT LAUREL,39.97221,-74.89131
10230,19300,RIVER RD AT WHITE TERRACE,40.81731000000001,-74.13824000000001
10231,16120,RIVER RD AT ENGARD AVE,39.97851,-75.05556
10232,16123,RIVER RD AT SHERMAN AVE,39.97497000000001,-75.05989000000001
10233,16128,RIVER RD AT 49TH ST,39.96515,-75.07062000000001
10234,15242,RIVER AVE AT LOIS AVE,39.9589,-75.08848
10235,32125,KROC CENTER,39.95512,-75.10092
10236,15300,7TH ST AT VINE ST,39.95146,-75.11569
10237,14768,BROAD ST AT MAIN ST#,40.00992,-75.01183
10238,14815,VETERANS PKWY AT SALEM RD,40.03382000000001,-74.89324000000001
10239,14714,BROAD ST AT ARCH ST#,39.99991,-75.02895000000001
1024,14463,RT-38 AT CREEK RD,39.974,-74.84310000000001
10240,14715,BROAD ST AT MARKET ST#,39.9992,-75.03015000000001
10241,25268,PASSAIC AVE AT 4TH AVE#,40.15173,-74.03075000000001
10242,23330,CENTER ST AT MIDDLESEX AVE,40.54192,-74.36486000000001
10243,12604,ESSEX ST AT MAYBROOK DR,40.88827000000001,-74.0665
10244,13451,ESSEX ST AT ROCHELLE AVE,40.89504,-74.07805
10245,13545,MARKET ST AT BELLA-VISTA AVE,40.89564,-74.08346
10246,13546,MARKET ST AT WESTMINSTER PL,40.89618,-74.08869
10247,13549,MARKET ST AT SAMPSON ST,40.89713,-74.09749000000001
10248,12050,MAPLE AVE AT HARRISTOWN RD,40.95175,-74.13633
10249,19120,WILSON AVE AT GARRISON ST,40.72326,-74.15112000000001
1025,14465,RT-38 AT LUMBERTON RD,39.97921,-74.82336000000001
10250,19132,WILSON AVE AT BARBARA ST,40.72318000000001,-74.15089
10251,14478,MARNE HWY AT HAINESPORT RD,39.98227,-74.83651
10252,14480,MARNE HWY AT LUMBERTON RD,39.98353,-74.82759
10253,14785,CR-541 AT HOLLY LN,40.00946,-74.79905000000001
10254,14786,CR-541 at BURRS RD,40.01801,-74.80760000000001
10255,32768,CR 541 (BURLINGTON-MT HOLLY RD) AT TOWNE SQUARE D#,40.03409000000001,-74.82368000000001
10256,32770,CR-541 AT ELBOW LANE#,40.03908000000001,-74.82877000000001
10257,14256,CR 541 (BURLINGTON-MT HOLLY RD) AT SUNSET RD,40.05104,-74.84062
10258,32303,CR 541 (BURLINGTON-MT HOLLY RD) 1100'N OF WEDGEWOO,40.05331,-74.84289000000001
10259,14202,HIGH ST AT 7TH ST#,40.06509,-74.85242000000001
1026,14617,WASHINGTON ST AT MADISON AVE,39.99187000000001,-74.79358000000001
10260,23335,MAIN ST AT RT-27,40.54333,-74.36266000000001
10261,23337,MAIN ST AT AMBOY AVE,40.538,-74.36036
10262,23091,AMBOY AVE. (RT. 501) AT CORAL ST,40.53223000000001,-74.33002
10263,18613,FRELINGHUYSEN AVE AT TOLER PL,40.71008,-74.19079000000001
10264,18424,CENTRAL AVE AT S 16TH ST,40.75071000000001,-74.20208000000001
10265,17474,CENTRAL AVE AT SOUTH ARLINGTON AVE,40.75524,-74.21536
10266,17476,CENTRAL AVE AT SOUTH BURNET ST,40.75822,-74.2197
10267,17668,SOUTH HARRISON ST 56'S OF BERWYN ST,40.76386,-74.223
10268,17669,SOUTH HARRISON ST AT FREEWAY DRIVE EAST,40.76552,-74.22133000000001
10269,14183,US-206 AT MAPLE AVE,40.16544,-74.70022
1027,14618,WASHINGTON ST 200'W OF BISPHAM ST,39.99247,-74.79116
10270,14627,HIGH ST AT BARTRAM AVE,39.9997,-74.79098
10271,17148,BLOOMFIELD AVE AT BURROUGHS PLACE,40.79061,-74.19608000000001
10272,17150,BLOOMFIELD AVE AT ELLA ST,40.78627,-74.19382
10273,17152,BLOOMFIELD AVE AT BERKELEY AVE,40.78085,-74.19056
10274,17153,BLOOMFIELD AVE AT AMPERE PKWY,40.77814,-74.18871
10275,18280,BLOOMFIELD AVE AT NORTH 12TH ST,40.77329,-74.18535
10276,18282,BLOOMFIELD AVE AT ROSEVILLE AVE,40.77055,-74.18349000000001
10277,18283,BLOOMFIELD AVE AT NORTH 7TH ST,40.76891000000001,-74.18237000000001
10278,18389,BROADWAY AT 7TH AVE,40.75105000000001,-74.17075000000001
10279,17414,SCOTLAND RD AT MAIN ST,40.77359000000001,-74.23394
1028,15918,BERLIN RD AT MYRTLE AVE,39.82429,-74.98531000000001
10280,28696,MORRIS AVE AT CHERRY ST,40.6743,-74.22472
10281,28947,LIBERTY AVE AT MILLARD AVE,40.69626,-74.23411
10282,28948,LIBERTY AVE AT LONG AVE,40.69871000000001,-74.23205
